[SPHERE] radius = 0.0012714560254376561 | density = 0.13768858601176814 | surface_area = 2.0314800071126963e-05
[PARALLELEPIPED] width = 0.6005199949026382 | length = 0.882919666763024 | height = 0.24297794824741747 | density = 0.901806837556411 | surface_area = 1.7813080782486719
[PARALLELEPIPED] width = 0.43608189899055905 | length = 0.8864514833154509 | height = 0.38892422232616186 | density = 0.7088821891532201 | surface_area = 1.8018614268419062
[SPHERE] radius = 0.378829880845328 | density = 0.8540543373067444 | surface_area = 1.803425967592124
[PARALLELEPIPED] width = 0.5554337000764569 | length = 0.6673152521926559 | height = 0.4376370596674144 | density = 0.9737371066706204 | surface_area = 1.8115392716505738
[PARALLELEPIPED] width = 0.9674307186759105 | length = 0.18266290494897508 | height = 0.6374149115079346 | density = 0.0889171423634213 | surface_area = 1.8196010614778255
[PARALLELEPIPED] width = 0.441906536641396 | length = 0.412199262380858 | height = 0.8520989301910502 | density = 0.8279159375772521 | surface_area = 1.8198723721233958
[PARALLELEPIPED] width = 0.8296384097950475 | length = 0.06520045397545415 | height = 0.9624156320947135 | density = 0.6190755546397123 | surface_area = 1.830599423305427
[PARALLELEPIPED] width = 0.9934434137687579 | length = 0.6286082015284213 | height = 0.18068552639470004 | density = 0.35833221842197127 | surface_area = 1.8351358551975572
[SPHERE] radius = 0.3826894090247326 | density = 0.7764972186441502 | surface_area = 1.840359852287325
[PARALLELEPIPED] width = 0.5524293140443612 | length = 0.2847843255946162 | height = 0.913569517710105 | density = 0.6769673561561962 | surface_area = 1.8443521412482442
[SPHERE] radius = 0.38366423591814725 | density = 0.3627049090104274 | surface_area = 1.849747712047676
[PARALLELEPIPED] width = 0.8798686012534772 | length = 0.8448720153966625 | height = 0.10871681211564688 | density = 0.21741402168465007 | surface_area = 1.8617693199876917
[PARALLELEPIPED] width = 0.9890323124283155 | length = 0.2131490104694621 | height = 0.6010243641123565 | density = 0.2336528870739737 | surface_area = 1.8667030477176152
[SPHERE] radius = 0.3862356286907668 | density = 0.002285483259987342 | surface_area = 1.874625543788699
[PARALLELEPIPED] width = 0.8102982618875225 | length = 0.7904599565404415 | height = 0.19057643995744233 | density = 0.12411017816663028 | surface_area = 1.8911502627540515
[PARALLELEPIPED] width = 0.34583068023049746 | length = 0.48880464129310164 | height = 0.9309150067607482 | density = 0.1609391536460678 | surface_area = 1.8920363751542364
[PARALLELEPIPED] width = 0.2500513914769361 | length = 0.8131386896145285 | height = 0.7017894185048219 | density = 0.7389804145476094 | surface_area = 1.8989240191422376
[PARALLELEPIPED] width = 0.6318644601639084 | length = 0.956315890556847 | height = 0.22022655419985182 | density = 0.6033698209826828 | surface_area = 1.9080430200400271
[PARALLELEPIPED] width = 0.8373723349500349 | length = 0.3361581444950734 | height = 0.5735690995174848 | density = 0.07986013489678767 | surface_area = 1.9091807014399276
[PARALLELEPIPED] width = 0.4144373987991723 | length = 0.9745658410488015 | height = 0.3990569803330283 | density = 0.8236051487739086 | surface_area = 1.9163759413786368
[PARALLELEPIPED] width = 0.4348268883436509 | length = 0.6793930864930942 | height = 0.5972065981741767 | density = 0.3703912344845631 | surface_area = 1.9216758051039005
[PARALLELEPIPED] width = 0.8880959860982457 | length = 0.22959908848575616 | height = 0.6789281020423263 | density = 0.6672571269779997 | surface_area = 1.9254812490907776
[SPHERE] radius = 0.39231169247125286 | density = 0.011399217478525903 | surface_area = 1.9340707999347886
[PARALLELEPIPED] width = 0.5472839673829784 | length = 0.6683804000661618 | height = 0.4967951969372576 | density = 0.1820262518951805 | surface_area = 1.9394601918114671
[SPHERE] radius = 0.3933434997245169 | density = 0.28149533272950866 | surface_area = 1.9442576619966732
[PARALLELEPIPED] width = 0.7789960056221005 | length = 0.9007582439663301 | height = 0.16384853423081092 | density = 0.8600915684395298 | surface_area = 1.9538246914879775
[PARALLELEPIPED] width = 0.9841813901961699 | length = 0.043316325761577956 | height = 0.9105229205230415 | density = 0.30926676561164 | surface_area = 1.9563826857416462
[PARALLELEPIPED] width = 0.634947423756387 | length = 0.21642861702174832 | height = 0.9887419790000878 | density = 0.43453259074345274 | surface_area = 1.9584240484746995
[PARALLELEPIPED] width = 0.9081970134522981 | length = 0.1989271977001038 | height = 0.7252761837243611 | density = 0.9981499689396487 | surface_area = 1.967271819238254
[PARALLELEPIPED] width = 0.17451747260036732 | length = 0.7841575919126702 | height = 0.8991677747443297 | density = 0.93469903088953 | surface_area = 1.9977178510441083
[PARALLELEPIPED] width = 0.6362492551608955 | length = 0.5029842137749355 | height = 0.6023927958242933 | density = 0.10552908241271941 | surface_area = 2.0125787316417094
[PARALLELEPIPED] width = 0.7285805012634111 | length = 0.5289795108147534 | height = 0.4950052099154605 | density = 0.42899837060408297 | surface_area = 2.0158058298150556
[SPHERE] radius = 0.4011745041459145 | density = 0.16863434587807402 | surface_area = 2.0224440366114647
[SPHERE] radius = 0.401818607198542 | density = 0.4401461865566917 | surface_area = 2.0289434931059724
[PARALLELEPIPED] width = 0.31893364283820835 | length = 0.9147761681914478 | height = 0.5868684206205675 | density = 0.45657085073272596 | surface_area = 2.0315564480118984
[SPHERE] radius = 0.4025907284617771 | density = 0.9503672089306131 | surface_area = 2.036748485402687
[SPHERE] radius = 0.40263437005854963 | density = 0.5956414705024549 | surface_area = 2.0371900841162183
[SPHERE] radius = 0.402686245106342 | density = 0.45478716756149307 | surface_area = 2.037715057385515
[PARALLELEPIPED] width = 0.9937283315395667 | length = 0.8381770391216844 | height = 0.10236249676184428 | density = 0.3534569573524151 | surface_area = 2.040877356386966
[PARALLELEPIPED] width = 0.8597200666965007 | length = 0.570830625026095 | height = 0.37223251862842266 | density = 0.1298085209930816 | surface_area = 2.046504060050747
[SPHERE] radius = 0.40478399241884777 | density = 0.4892832884590478 | surface_area = 2.059000836988588
[PARALLELEPIPED] width = 0.41095619255604676 | length = 0.708163272655565 | height = 0.6605199877396711 | density = 0.36621892233136966 | surface_area = 2.0604497153587236
[PARALLELEPIPED] width = 0.5184707246305629 | length = 0.9140436448569109 | height = 0.39371038302144645 | density = 0.5304063758877665 | surface_area = 2.0758013039751253
[PARALLELEPIPED] width = 0.8819649133685447 | length = 0.9252112244189264 | height = 0.12624034646343563 | density = 0.3128810635810987 | surface_area = 2.088284758293975
[SPHERE] radius = 0.41138205569975383 | density = 0.7039993821894108 | surface_area = 2.1266721908101807
[SPHERE] radius = 0.4115828389161402 | density = 0.23065303767269651 | surface_area = 2.128748626958553
[PARALLELEPIPED] width = 0.764689840022316 | length = 0.49100889806662884 | height = 0.5679724933251057 | density = 0.17877402357430638 | surface_area = 2.1773437176993418
[PARALLELEPIPED] width = 0.04740824381931097 | length = 0.9990053813473719 | height = 0.9996537705206758 | density = 0.24777831227243607 | surface_area = 2.1868248332356077
[SPHERE] radius = 0.4173995121371419 | density = 0.9737476804986485 | surface_area = 2.1893426537399954
[PARALLELEPIPED] width = 0.44491700539649226 | length = 0.9910511036630512 | height = 0.458078392460062 | density = 0.9709063427838086 | surface_area = 2.1974429045171275
[PARALLELEPIPED] width = 0.9545165731194133 | length = 0.13541978629426832 | height = 0.8951291204464088 | density = 0.915115033216639 | surface_area = 2.209788410181396
[PARALLELEPIPED] width = 0.7826397197326248 | length = 0.6413507159666009 | height = 0.42542669239393127 | density = 0.07034123167970308 | surface_area = 2.215500171309067
[PARALLELEPIPED] width = 0.9518920930298962 | length = 0.802832276914773 | height = 0.20082880344832754 | density = 0.7177994561166819 | surface_area = 2.2332177840439376
[SPHERE] radius = 0.4217045339274349 | density = 0.9344727864478358 | surface_area = 2.2347369234051895
[PARALLELEPIPED] width = 0.6755352810344686 | length = 0.7089855183499919 | height = 0.4660918428342612 | density = 0.3209233851025286 | surface_area = 2.2485171644307953
[SPHERE] radius = 0.42356833053896537 | density = 0.22839851251102672 | surface_area = 2.2545341935371197
[PARALLELEPIPED] width = 0.8438128216506037 | length = 0.19516394339700494 | height = 0.940546214985139 | density = 0.6114319456963794 | surface_area = 2.2837750031706356
[PARALLELEPIPED] width = 0.24819807136508376 | length = 0.8872836098007737 | height = 0.8267488110914708 | density = 0.028883796478004875 | surface_area = 2.3179604212528373
[PARALLELEPIPED] width = 0.8886417055584566 | length = 0.8160154768437676 | height = 0.2577816443724249 | density = 0.20478300738444943 | surface_area = 2.3291494333509055
[PARALLELEPIPED] width = 0.8281489378659628 | length = 0.9378073127810738 | height = 0.22169245093328172 | density = 0.5489207915833213 | surface_area = 2.3362865988989383
[PARALLELEPIPED] width = 0.6713667347031915 | length = 0.5436868498735146 | height = 0.6649547558938754 | density = 0.3817551822526386 | surface_area = 2.3459378496616554
[PARALLELEPIPED] width = 0.672230692927277 | length = 0.6401138617215866 | height = 0.5672182144348749 | density = 0.24538103808469314 | surface_area = 2.3493798396574337
[PARALLELEPIPED] width = 0.5720588551053052 | length = 0.6100957018517407 | height = 0.7031375501293765 | density = 0.9237960519696341 | surface_area = 2.36045581551806
[PARALLELEPIPED] width = 0.17254367440309937 | length = 0.8847581348374399 | height = 0.981154387613567 | density = 0.9658486687506991 | surface_area = 2.380071457422005
[PARALLELEPIPED] width = 0.5320253391724936 | length = 0.589156616169112 | height = 0.7821661878788638 | density = 0.37677621029680486 | surface_area = 2.3807937289424093
[SPHERE] radius = 0.4354144375106864 | density = 0.015155898352714692 | surface_area = 2.3824045764419837
[SPHERE] radius = 0.4361716750870448 | density = 0.9687548181413371 | surface_area = 2.39069835284213
[SPHERE] radius = 0.43659479600112916 | density = 0.7445752700136312 | surface_area = 2.395338934401897
[PARALLELEPIPED] width = 0.7359776656932328 | length = 0.7308106327814061 | height = 0.45441729030996747 | density = 0.7587966972569362 | surface_area = 2.4087885352589335
[PARALLELEPIPED] width = 0.5018027277916234 | length = 0.6374837440604789 | height = 0.7772264040862845 | density = 0.31867424114599596 | surface_area = 2.4107492188682498
[SPHERE] radius = 0.4383318881504138 | density = 0.8380443750254443 | surface_area = 2.41443765976617
[PARALLELEPIPED] width = 0.9107392767809014 | length = 0.5416312435833905 | height = 0.49270437291968916 | density = 0.9332167634143116 | surface_area = 2.417748307092417
[SPHERE] radius = 0.44051944680258404 | density = 0.6028462217050834 | surface_area = 2.4385969953720736
[PARALLELEPIPED] width = 0.5727247133290222 | length = 0.6009826695643256 | height = 0.7515872044815789 | density = 0.46528369558340066 | surface_area = 2.4526821558602805
[PARALLELEPIPED] width = 0.8485607619401928 | length = 0.46781218580365325 | height = 0.6357652157985684 | density = 0.6028756092770214 | surface_area = 2.4677423920484376
[PARALLELEPIPED] width = 0.7357367033835763 | length = 0.6709623707563513 | height = 0.5370436409741118 | density = 0.30647737677579245 | surface_area = 2.4982208705714513
[SPHERE] radius = 0.446612461533617 | density = 0.23519381017686458 | surface_area = 2.506522096293895
[PARALLELEPIPED] width = 0.9220357849648269 | length = 0.18910219792290672 | height = 0.9772780850169499 | density = 0.1548373475226279 | surface_area = 2.5204995872130844
[PARALLELEPIPED] width = 0.6270967975931984 | length = 0.466679169970153 | height = 0.8860310428620188 | density = 0.6994778755528119 | surface_area = 2.5235449483786097
[PARALLELEPIPED] width = 0.8120874152214506 | length = 0.5055237706510816 | height = 0.6491004759732599 | density = 0.6115296035978272 | surface_area = 2.531583080277181
[PARALLELEPIPED] width = 0.8569241270736374 | length = 0.8534360831476263 | height = 0.31536764411966745 | density = 0.18654411265109072 | surface_area = 2.541444481315846
[SPHERE] radius = 0.45277228023052063 | density = 0.6864010729607057 | surface_area = 2.576140379463771
[PARALLELEPIPED] width = 0.6277025507365124 | length = 0.7416720068271618 | height = 0.6054011651113426 | density = 0.7640271138025441 | surface_area = 2.58914072623631
[SPHERE] radius = 0.45421076096354385 | density = 0.22792625999409533 | surface_area = 2.592535442093817
[PARALLELEPIPED] width = 0.7499297653492589 | length = 0.4039071205678372 | height = 0.865767996130364 | density = 0.16682978409566374 | surface_area = 2.6037140414641535
[PARALLELEPIPED] width = 0.953839076628855 | length = 0.7845638366008724 | height = 0.318568810294224 | density = 0.554905675633979 | surface_area = 2.6042971866787505
[SPHERE] radius = 0.45562133358422907 | density = 0.8207001053286781 | surface_area = 2.608662924119289
[SPHERE] radius = 0.4561100638248703 | density = 0.5145658332049279 | surface_area = 2.614262382063848
[SPHERE] radius = 0.45730793551857196 | density = 0.052346963162738014 | surface_area = 2.628011971547844
[SPHERE] radius = 0.4574195594781221 | density = 0.8958940617037487 | surface_area = 2.629295067164194
[SPHERE] radius = 0.4596842968404645 | density = 0.9218892121541693 | surface_area = 2.655395410995222
[SPHERE] radius = 0.46036815867068404 | density = 0.30301699558313433 | surface_area = 2.6633020300910615
[PARALLELEPIPED] width = 0.8901461528551339 | length = 0.6964996725827987 | height = 0.4564799396853161 | density = 0.5908529295934858 | surface_area = 2.688516989424609
[SPHERE] radius = 0.46466394014896595 | density = 0.4936954589485918 | surface_area = 2.713237466336121
[PARALLELEPIPED] width = 0.4526626072335681 | length = 0.6647389003898977 | height = 0.9689979753139654 | density = 0.34394516866650093 | surface_area = 2.767324484559954
[SPHERE] radius = 0.4715201015517805 | density = 0.9675772536198078 | surface_area = 2.7938963358370636
[PARALLELEPIPED] width = 0.6703733537228805 | length = 0.6743753046590707 | height = 0.7036898877355414 | density = 0.43062153671399106 | surface_area = 2.7967385342030116
[SPHERE] radius = 0.47528574333054163 | density = 0.0770836619871843 | surface_area = 2.838699614662095
[PARALLELEPIPED] width = 0.6310032676878251 | length = 0.5218206499359869 | height = 0.9469795562464784 | density = 0.14312939634899335 | surface_area = 2.8419424343966333
[PARALLELEPIPED] width = 0.6536587841419629 | length = 0.7908040854621221 | height = 0.6302186915059309 | density = 0.3977331536207409 | surface_area = 2.8544870732169123
[SPHERE] radius = 0.47721005157222596 | density = 0.3511673799149533 | surface_area = 2.8617324589168005
[PARALLELEPIPED] width = 0.7141425454720557 | length = 0.7479917581359531 | height = 0.6143362730230546 | density = 0.3699650473236208 | surface_area = 2.8648297537700627
[PARALLELEPIPED] width = 0.361392518995618 | length = 0.9828617885423232 | height = 0.8034178388564417 | density = 0.5028908401917361 | surface_area = 2.8703935764428876
[PARALLELEPIPED] width = 0.9867095828378293 | length = 0.633960694865715 | height = 0.5045870898631338 | density = 0.020113243540692438 | surface_area = 2.886608783641277
[SPHERE] radius = 0.4815726169862212 | density = 0.8127568158041029 | surface_area = 2.914294472111403
[SPHERE] radius = 0.4815826066928445 | density = 0.13095645628861874 | surface_area = 2.9144153811819007
[SPHERE] radius = 0.48266722751015234 | density = 0.46907254424351275 | surface_area = 2.9275578626272725
[PARALLELEPIPED] width = 0.9378934156920965 | length = 0.9435266384104716 | height = 0.30865446873930846 | density = 0.6389720282717003 | surface_area = 2.931272257939576
[SPHERE] radius = 0.4830446096531691 | density = 0.15593909378936643 | surface_area = 2.932137580926501
[SPHERE] radius = 0.48537138468758545 | density = 0.8305615015890196 | surface_area = 2.9604532098951917
[SPHERE] radius = 0.4857923117890761 | density = 0.5526958064109458 | surface_area = 2.965590205478104
[PARALLELEPIPED] width = 0.8901050203284817 | length = 0.8167230241582134 | height = 0.4486536472527831 | density = 0.4498531533647705 | surface_area = 2.9854877828267536
[SPHERE] radius = 0.4876518336922083 | density = 0.8083469176067805 | surface_area = 2.9883371045040814
[PARALLELEPIPED] width = 0.6893074950175482 | length = 0.842408157390308 | height = 0.5966637767710273 | density = 0.5574478294949679 | surface_area = 2.989195005716063
[SPHERE] radius = 0.48861048654896544 | density = 0.25359224411376213 | surface_area = 3.0000979288185756
[SPHERE] radius = 0.48972258891476184 | density = 0.48024924115595036 | surface_area = 3.013770222077251
[PARALLELEPIPED] width = 0.7315540233997574 | length = 0.4807164999793687 | height = 0.9557576246676696 | density = 0.6228845498874643 | surface_area = 3.020613771108046
[SPHERE] radius = 0.49077585472696716 | density = 0.37857523357001466 | surface_area = 3.026747833322565
[SPHERE] radius = 0.49088608537572176 | density = 0.019758882562128655 | surface_area = 3.0281076306422463
[SPHERE] radius = 0.4909684411506744 | density = 0.9432329136085578 | surface_area = 3.0291237648426925
[SPHERE] radius = 0.49173704526886364 | density = 0.5201026621930317 | surface_area = 3.0386152888777715
[PARALLELEPIPED] width = 0.9879187603642577 | length = 0.9737911995592061 | height = 0.2862523688193165 | density = 0.0790009404911145 | surface_area = 3.0471414353733848
[SPHERE] radius = 0.49280344250359864 | density = 0.7707076680568845 | surface_area = 3.051808862803264
[PARALLELEPIPED] width = 0.9406744062688829 | length = 0.6168592368661272 | height = 0.6142548508999559 | density = 0.30083761232866724 | surface_area = 3.0739725842521626
[SPHERE] radius = 0.49563518066867374 | density = 0.8387542146359126 | surface_area = 3.0869821262746355
[PARALLELEPIPED] width = 0.572466501860452 | length = 0.8777820652436544 | height = 0.7490418361932691 | density = 0.0676664626996828 | surface_area = 3.177595355852391
[SPHERE] radius = 0.5045279787508906 | density = 0.9022708944003195 | surface_area = 3.1987505558716323
[SPHERE] radius = 0.5056607688020721 | density = 0.9143057049888227 | surface_area = 3.21313065291182
[SPHERE] radius = 0.5076154024067158 | density = 0.7322634182747089 | surface_area = 3.238019401153661
[PARALLELEPIPED] width = 0.9887159906262929 | length = 0.9222487184190499 | height = 0.37016814911101514 | density = 0.8645910006826822 | surface_area = 3.238440649198608
[PARALLELEPIPED] width = 0.599134962819754 | length = 0.9885079688151075 | height = 0.6489267968074965 | density = 0.12095288626949463 | surface_area = 3.2450274544858875
[SPHERE] radius = 0.5101232085027291 | density = 0.6474606893561782 | surface_area = 3.2700924369388344
[SPHERE] radius = 0.5134651359479164 | density = 0.9979640192585891 | surface_area = 3.3130789495087694
[SPHERE] radius = 0.5137060892920464 | density = 0.9608324870294074 | surface_area = 3.316189130529949
[SPHERE] radius = 0.515705461910944 | density = 0.9773605949302304 | surface_area = 3.3420529488829085
[SPHERE] radius = 0.5183608391026393 | density = 0.008085693208907507 | surface_area = 3.3765581425899835
[PARALLELEPIPED] width = 0.4707067421512876 | length = 0.8811898236874028 | height = 0.9430477950780478 | density = 0.8702108896779999 | surface_area = 3.379370133425054
[PARALLELEPIPED] width = 0.5377774392422713 | length = 0.813160939473117 | height = 0.9376317030216986 | density = 0.9707884766688686 | surface_area = 3.4079645208679485
[SPHERE] radius = 0.5258831507959294 | density = 0.43054645559234306 | surface_area = 3.4752686020109818
[PARALLELEPIPED] width = 0.8203276914197036 | length = 0.9746245357273109 | height = 0.5255411816824679 | density = 0.6609152505958128 | surface_area = 3.48566561982521
[PARALLELEPIPED] width = 0.7829348645048911 | length = 0.6524210150269882 | height = 0.8668361877090192 | density = 0.5021555634488755 | surface_area = 3.510043155238878
[PARALLELEPIPED] width = 0.7135189758893373 | length = 0.9551235844410161 | height = 0.6441539801761431 | density = 0.12236941630286424 | surface_area = 3.512723097092428
[PARALLELEPIPED] width = 0.8341663903120274 | length = 0.7472555210168675 | height = 0.7232557716468756 | density = 0.012456714254162393 | surface_area = 3.534215930769661
[SPHERE] radius = 0.5305230996231418 | density = 0.7542333377142764 | surface_area = 3.536864815706483
[PARALLELEPIPED] width = 0.9346576838275599 | length = 0.7408016016920501 | height = 0.6449154333204595 | density = 0.07711965920629948 | surface_area = 3.5458509206898103
[SPHERE] radius = 0.5322158824389434 | density = 0.3953694665692927 | surface_area = 3.559471544113006
[PARALLELEPIPED] width = 0.5978549476126719 | length = 0.8279461838237656 | height = 0.9029196687866734 | density = 0.7832110558404318 | surface_area = 3.564751215416643
[PARALLELEPIPED] width = 0.8063202243801088 | length = 0.943941840064214 | height = 0.5861699889491325 | density = 0.780958060891886 | surface_area = 3.574140982511529
[PARALLELEPIPED] width = 0.7308065109346881 | length = 0.8913238965952469 | height = 0.7071101718929995 | density = 0.5279448178213733 | surface_area = 3.596820436569673
[SPHERE] radius = 0.5389232157712923 | density = 0.4746338355090144 | surface_area = 3.6497544701401226
[SPHERE] radius = 0.5391946306881499 | density = 0.4610889206635139 | surface_area = 3.6534316071485593
[SPHERE] radius = 0.5403190054464679 | density = 0.9429250558866528 | surface_area = 3.668684389879022
[SPHERE] radius = 0.5406058940849537 | density = 0.34563827435091266 | surface_area = 3.6725812851523645
[PARALLELEPIPED] width = 0.5739724840416538 | length = 0.8029465156830472 | height = 0.9998714078893747 | density = 0.8163444370705819 | surface_area = 3.6752222899271114
[PARALLELEPIPED] width = 0.8723737725003278 | length = 0.6505346948109353 | height = 0.840416869433243 | density = 0.492830714268804 | surface_area = 3.69477474477135
[SPHERE] radius = 0.5437874095614852 | density = 0.9813504047779336 | surface_area = 3.71593544068376
[PARALLELEPIPED] width = 0.9800777895141801 | length = 0.7220142427172567 | height = 0.6771466073706902 | density = 0.539377597678852 | surface_area = 3.7203919361165694
[PARALLELEPIPED] width = 0.8928511248434755 | length = 0.7307126146942104 | height = 0.75035884919091 | density = 0.4104293292279031 | surface_area = 3.7413459983092627
[SPHERE] radius = 0.5518933265474116 | density = 0.12745995952875633 | surface_area = 3.82754362472677
[SPHERE] radius = 0.552051784534045 | density = 0.8538163724843831 | surface_area = 3.829741846362333
[SPHERE] radius = 0.552349738596634 | density = 0.2855773915027622 | surface_area = 3.8338769478446206
[PARALLELEPIPED] width = 0.9999598228141334 | length = 0.9389485962001639 | height = 0.5044980484248915 | density = 0.3145984934611079 | surface_area = 3.8341727707104
[SPHERE] radius = 0.5563990579362559 | density = 0.31864115701598406 | surface_area = 3.8902959048353654
[SPHERE] radius = 0.556987314284559 | density = 0.28991552571758394 | surface_area = 3.8985263322270542
[SPHERE] radius = 0.5572789495744883 | density = 0.4725615395174476 | surface_area = 3.9026098920412324
[PARALLELEPIPED] width = 0.8298835404246371 | length = 0.7997373030791699 | height = 0.7989417313262551 | density = 0.6536502307513073 | surface_area = 3.931321845206553
[SPHERE] radius = 0.5611558177336713 | density = 0.03630646798072368 | surface_area = 3.9570979783458675
[SPHERE] radius = 0.5645713000041067 | density = 0.11447956788415936 | surface_area = 4.005414429437955
[SPHERE] radius = 0.5651964401928973 | density = 0.19501138128636852 | surface_area = 4.014289594791612
[PARALLELEPIPED] width = 0.8008645766481848 | length = 0.7290792816521579 | height = 0.9303672665008841 | density = 0.5338106390442547 | surface_area = 4.0146069111800475
[SPHERE] radius = 0.5659585486441284 | density = 0.6216676082553801 | surface_area = 4.025122595135776
[SPHERE] radius = 0.566668133291831 | density = 0.7364768364665522 | surface_area = 4.035222118147336
[SPHERE] radius = 0.5673457270600312 | density = 0.9275658717273275 | surface_area = 4.044878126435855
[SPHERE] radius = 0.567885357613163 | density = 0.02322766403627463 | surface_area = 4.052576352658097
[PARALLELEPIPED] width = 0.7644543175263208 | length = 0.7854794356499659 | height = 0.9219889965561674 | density = 0.3506803204721347 | surface_area = 4.058970023460587
[PARALLELEPIPED] width = 0.8522029034234976 | length = 0.7104538328492294 | height = 0.9329337179403974 | density = 0.8490650100010528 | surface_area = 4.126611955875975
[SPHERE] radius = 0.5734044057784957 | density = 0.40317275048202406 | surface_area = 4.131729824770148
[SPHERE] radius = 0.5756419612185588 | density = 0.9578122028170659 | surface_area = 4.164038654133676
[SPHERE] radius = 0.5769534852335069 | density = 0.24623777939865132 | surface_area = 4.183034691305689
[SPHERE] radius = 0.5788737005440365 | density = 0.4584811982059608 | surface_area = 4.210924959937495
[SPHERE] radius = 0.5792652130099301 | density = 0.8275603201911222 | surface_area = 4.21662287686152
[PARALLELEPIPED] width = 0.9434003612136267 | length = 0.9578670083796355 | height = 0.6797077374410483 | density = 0.8394244177843452 | surface_area = 4.391916447513387
[SPHERE] radius = 0.5947634330032447 | density = 0.8893968341225338 | surface_area = 4.445272441630108
[SPHERE] radius = 0.5981417271738086 | density = 0.3009660994165184 | surface_area = 4.495914721038732
[SPHERE] radius = 0.5984337070817441 | density = 0.76395570260931 | surface_area = 4.500305109151656
[PARALLELEPIPED] width = 0.7303552948613075 | length = 0.9882475178971962 | height = 0.8900347886910578 | density = 0.008579743434544929 | surface_area = 4.502776197254269
[SPHERE] radius = 0.6056948669442017 | density = 0.9110788671741187 | surface_area = 4.6101775378817775
[PARALLELEPIPED] width = 0.993432742128805 | length = 0.7766733911390846 | height = 0.8685992386737366 | density = 0.7471279911131328 | surface_area = 4.618171232851958
[PARALLELEPIPED] width = 0.9655539871279769 | length = 0.7169977316314732 | height = 0.9841523956395118 | density = 0.6128991613188258 | surface_area = 4.69637464668595
[SPHERE] radius = 0.6128478970670127 | density = 0.35921726020497646 | surface_area = 4.719709455993461
[SPHERE] radius = 0.6170860472720076 | density = 0.389745131464902 | surface_area = 4.7852134824102945
[SPHERE] radius = 0.6190819776106158 | density = 0.33433319295535735 | surface_area = 4.816218554782518
[SPHERE] radius = 0.6245886814786316 | density = 0.6405757631198922 | surface_area = 4.90227967102432
[SPHERE] radius = 0.6251008027477145 | density = 0.4803328324456049 | surface_area = 4.910322054781789
[SPHERE] radius = 0.6265400583505072 | density = 0.877257343924173 | surface_area = 4.9329595058973315
[SPHERE] radius = 0.6316887974410936 | density = 0.01874227010502927 | surface_area = 5.014368125307631
[SPHERE] radius = 0.6339958911106636 | density = 0.3959941978758962 | surface_area = 5.051062595185873
[SPHERE] radius = 0.6345493723391327 | density = 0.5623413761863035 | surface_area = 5.0598856449403184
[SPHERE] radius = 0.6356486710071938 | density = 0.8645619111546798 | surface_area = 5.077432407737604
[SPHERE] radius = 0.6393123529520529 | density = 0.660737483552426 | surface_area = 5.136130574356048
[SPHERE] radius = 0.6447050010633835 | density = 0.4280534952112084 | surface_area = 5.223143313320103
[SPHERE] radius = 0.6451986146561848 | density = 0.8240453940851316 | surface_area = 5.231144496893208
[SPHERE] radius = 0.6457157869415167 | density = 0.19364389941228277 | surface_area = 5.2395341219751845
[SPHERE] radius = 0.6484589356768174 | density = 0.43746811264154095 | surface_area = 5.284146167126165
[SPHERE] radius = 0.6492866011291841 | density = 0.36629101639696215 | surface_area = 5.2976436950811365
[SPHERE] radius = 0.6527329866440833 | density = 0.34074445447345036 | surface_area = 5.354032285472902
[SPHERE] radius = 0.6537906106791418 | density = 0.20432295663852706 | surface_area = 5.37139663158815
[SPHERE] radius = 0.6604351471285589 | density = 0.3190452603097652 | surface_area = 5.481131469612929
[SPHERE] radius = 0.6624481386686857 | density = 0.595179184597309 | surface_area = 5.514595122216511
[SPHERE] radius = 0.6684280192074923 | density = 0.9671883995367029 | surface_area = 5.6146043369029845
[SPHERE] radius = 0.669198467878577 | density = 0.8874113513314205 | surface_area = 5.627554893503518
[SPHERE] radius = 0.6733851952524395 | density = 0.7618003328238594 | surface_area = 5.69819086201234
[SPHERE] radius = 0.6770809104334987 | density = 0.25210907509168046 | surface_area = 5.760908839743107
[SPHERE] radius = 0.681670793579799 | density = 0.505419185358953 | surface_area = 5.839279155174108
[SPHERE] radius = 0.686736159601784 | density = 0.14417764751152928 | surface_area = 5.926382727959678
[SPHERE] radius = 0.6891679913402791 | density = 0.9244909865733765 | surface_area = 5.9684293941628885
[SPHERE] radius = 0.7001607364582626 | density = 0.4726398590741905 | surface_area = 6.160349749171447
[SPHERE] radius = 0.7094534483134751 | density = 0.767479442555893 | surface_area = 6.324958377613991
[SPHERE] radius = 0.7114204472965491 | density = 0.25013119538941975 | surface_area = 6.3600795928705915
[SPHERE] radius = 0.71995716815633 | density = 0.10230385125024011 | surface_area = 6.513631482754461
[SPHERE] radius = 0.7241621853467021 | density = 0.9388379974256754 | surface_area = 6.589941355240456
[SPHERE] radius = 0.7261804607182405 | density = 0.3124688293149994 | surface_area = 6.626725520230602
[SPHERE] radius = 0.7291171026509574 | density = 0.20168232789595653 | surface_area = 6.6804302656333645
[SPHERE] radius = 0.7321498015841635 | density = 0.823655840856876 | surface_area = 6.736119174761932
[SPHERE] radius = 0.7324744670332342 | density = 0.2764048900138659 | surface_area = 6.742094646043596
[SPHERE] radius = 0.733700968630278 | density = 0.8838884616447484 | surface_area = 6.764692329514219
